ID,TARGET_LifeExpectancy
1993,69.064684
1398,79.658846
1575,73.592926
226,68.055757
1428,76.416156
803,74.019973
1284,72.644060
1543,74.507957
450,78.018245
98,71.602451
1236,75.811089
1495,79.432434
1977,70.858804
242,67.223538
50,74.933861
1381,52.692748
1784,73.165644
1463,73.465419
1945,62.757866
835,68.294841
1139,81.222506
707,74.167703
2,63.056296
1880,69.048871
643,81.059409
1672,80.135611
1559,66.861851
434,78.763151
1330,71.053867
1011,74.240427
18,75.854034
1864,77.272335
755,76.126233
1913,73.734477
1414,67.716544
1768,83.167877
595,60.905107
739,65.084564
1447,63.979490
290,79.721554
1736,60.701103
1395,71.390012
1300,66.218862
1431,72.323080
162,79.804487
1511,70.768120
1816,69.502940
194,75.752462
1592,68.960589
130,68.219898
274,77.061336
1107,73.328394
1608,76.892597
1848,72.147880
691,64.273375
1623,65.194186
177,81.309546
417,74.418995
578,63.560561
1315,66.665684
33,76.068191
1719,71.539513
1267,72.310254
562,71.849612
81,75.068110
2024,70.694895
1154,60.832879
209,64.526971
385,70.607765
850,164.632688
1687,55.281112
1090,60.432987
305,61.711327
337,71.553509
1202,60.664193
658,80.130854
465,72.552230
1526,66.982095
1831,65.788851
1364,58.354184
257,75.761874
962,73.329758
930,72.595744
514,70.839988
145,78.123184
1026,74.011227
1042,66.540020
898,82.021461
481,67.830483
1348,71.444690
369,78.274544
1058,75.510008
610,76.839202
1251,70.517306
994,65.004895
914,81.023084
2056,64.129859
1960,74.202143
1655,79.652674
1170,72.653467
497,70.096190
866,69.635725
1122,78.638653
530,74.021446
1332,69.086100
978,77.437765
1639,60.260988
1751,79.663140
2040,63.634219
786,63.891157
674,65.645371
1799,75.244780
946,77.360870
770,60.755829
1074,73.306571
1478,68.566066
1896,73.915675
818,77.395563
401,61.302996
65,78.501127
321,64.854237
1219,67.814973
113,77.731133
546,71.719647
2008,73.630328
353,54.652629
882,67.410137
1928,72.945986
722,80.827622
1703,80.294159
626,62.905991
1186,72.812177
1992,69.198542
1397,79.840516
1574,73.685347
225,68.343007
802,70.289159
1283,72.769683
1542,74.726375
449,77.244799
97,72.689139
1235,74.088655
1494,79.245868
1976,71.047721
241,68.177734
49,75.030904
1380,51.829815
1783,73.121193
1462,73.163577
1944,68.953881
834,65.462598
1138,81.538482
706,74.223840
1,63.136659
1879,69.696489
642,81.124297
1671,80.987776
1558,71.225429
433,78.935312
1010,73.986070
17,77.381977
1863,77.383837
754,75.869960
1912,76.432234
1413,66.726064
1767,83.359324
594,61.015237
738,67.434934
1446,65.378292
289,77.350512
1735,62.234436
1299,60.246615
1430,70.757289
161,76.272202
1510,70.346993
1815,69.633265
193,71.665594
1591,68.519678
129,68.556811
273,76.561575
1106,73.103066
1607,77.424259
1847,72.888215
690,64.304022
1622,65.816618
176,80.051053
416,73.792881
577,64.701973
1314,67.375192
32,76.086421
1718,71.625597
1266,72.753312
561,71.941378
80,72.907964
2023,70.803402
1153,61.315560
208,64.999249
384,66.772572
849,159.914953
1686,55.308386
1089,63.584048
304,67.264775
336,72.588511
1201,60.810853
657,80.035543
464,72.656045
1525,68.947694
1830,66.080113
1363,62.622718
256,76.231257
961,73.507577
929,72.748619
513,72.706364
144,76.842163
1025,75.300248
1041,67.765700
897,82.427921
480,68.471364
1347,71.634803
368,78.443058
1057,77.883928
609,77.613517
1250,70.298950
993,65.188678
913,79.709831
2055,66.809247
1959,74.298011
1654,79.603247
1169,72.198868
496,68.380728
865,69.680669
1121,78.408936
529,73.765938
1331,66.910842
977,74.006036
1638,62.061240
1750,79.707571
2039,64.284177
785,68.190611
673,67.119875
1798,74.151709
945,79.569409
769,61.282924
1073,73.176385
1477,67.211723
1895,71.930480
817,78.645581
400,61.832870
64,78.717024
320,65.465614
1218,67.269598
112,76.496304
545,72.783055
2007,74.283865
352,55.911198
881,67.732679
1927,73.097890
721,82.113313
1702,82.534280
625,63.580056
1185,73.021747
1991,71.643259
1396,81.316354
1573,73.990858
224,68.677440
801,71.119181
1282,72.829713
1541,73.859736
448,77.628225
96,73.053603
1234,74.567696
1493,80.509693
1975,71.360198
240,69.149810
48,77.125426
1379,53.319733
1782,73.366416
1461,71.964865
1943,64.578630
833,68.697454
1137,78.508697
705,74.616970
0,62.304528
1878,69.749816
641,79.599444
1670,79.878025
1557,68.339949
432,79.110279
1009,68.522674
16,76.245602
1862,77.069384
753,76.321797
1911,75.041549
1412,67.182316
1766,80.639899
593,61.388894
737,67.422881
1445,65.863128
288,77.483545
1734,60.766475
1298,57.797693
1429,73.753091
160,76.354324
1509,71.420982
1814,69.692162
192,71.693248
1590,72.730968
128,68.887838
272,75.873566
1105,73.259642
1606,76.987981
1846,75.873361
689,64.715672
